Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
1,note_on,79,G5,0.6299212598425197,0.2837495270833301,39.899933499999996
2,note_on,48,C3,0.6299212598425197,0.2837495270833301,39.899933499999996
1,note_on,77,F5,0.6299212598425197,0.2837495270833301,40.199932999999994
2,note_on,56,G#3,0.6299212598425197,0.1412497645833355,40.199932999999994
2,note_on,55,G3,0.6299212598425197,0.1412497645833355,40.349932749999994
1,note_on,75,D#5,0.6299212598425197,0.2837495270833301,40.50
2,note_on,53,F3,0.6299212598425197,0.14124976458332839,40.50
2,note_on,48,C3,0.6299212598425197,0.14124976458332839,40.65
1,note_on,74,D5,0.6299212598425197,0.14124976458332839,40.80
2,note_on,46,A#2,0.6299212598425197,0.2837495270833301,40.80
1,note_on,72,C5,0.6299212598425197,0.14124976458332839,40.95
1,note_on,74,D5,0.6299212598425197,0.1412497645833355,41.10
2,note_on,53,F3,0.6299212598425197,0.2837495270833301,41.10
1,note_on,75,D#5,0.6299212598425197,0.1412497645833355,41.249931249999996
1,note_on,77,F5,0.6299212598425197,0.2837495270833301,41.399930999999995
2,note_on,62,D4,0.6299212598425197,0.1412497645833355,41.399930999999995
2,note_on,60,C4,0.6299212598425197,0.1412497645833355,41.549930749999994
1,note_on,65,F4,0.6299212598425197,0.2837495270833372,41.699930499999994
2,note_on,58,A#3,0.6299212598425197,0.1412497645833355,41.699930499999994
2,note_on,53,F3,0.6299212598425197,0.14124976458332839,41.85
1,note_on,67,G4,0.6299212598425197,0.2837495270833301,42.00
2,note_on,39,D#2,0.6299212598425197,0.2837495270833301,42.00
1,note_on,77,F5,0.6299212598425197,0.2837495270833301,42.30
2,note_on,46,A#2,0.6299212598425197,0.2837495270833301,42.30
1,note_on,75,D#5,0.6299212598425197,0.2837495270833301,42.599928999999996
2,note_on,55,G3,0.6299212598425197,0.1412497645833355,42.599928999999996
2,note_on,53,F3,0.6299212598425197,0.1412497645833355,42.749928749999995
1,note_on,74,D5,0.6299212598425197,0.2837495270833301,42.899928499999994
2,note_on,51,D#3,0.6299212598425197,0.1412497645833355,42.899928499999994
2,note_on,46,A#2,0.6299212598425197,0.1412497645833355,43.049928249999994
1,note_on,72,C5,0.6299212598425197,0.14124976458332839,43.20
